Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp
1363,Airport,136.0,Trip Completed,2016-07-11 00:00:00,2016-07-11 01:11:00
1362,City,,No Cars Available,2016-07-11 00:02:00,
1367,City,155.0,Trip Completed,2016-07-11 00:05:00,2016-07-11 01:06:00
1364,City,,No Cars Available,2016-07-11 00:06:00,
1366,City,,No Cars Available,2016-07-11 00:09:00,
1365,City,229.0,Cancelled,2016-07-11 00:09:00,
1,Airport,285.0,Trip Completed,2016-07-11 00:20:00,2016-07-11 00:51:00
2,Airport,,No Cars Available,2016-07-11 00:23:00,
3,Airport,80.0,Trip Completed,2016-07-11 00:24:00,2016-07-11 01:31:00
7,Airport,,No Cars Available,2016-07-11 00:30:00,
5,Airport,264.0,Trip Completed,2016-07-11 00:36:00,2016-07-11 01:35:00
6,City,,No Cars Available,2016-07-11 00:36:00,
4,City,,No Cars Available,2016-07-11 00:37:00,
8,City,,No Cars Available,2016-07-11 00:40:00,
9,Airport,235.0,Trip Completed,2016-07-11 00:45:00,2016-07-11 02:00:00
10,City,228.0,Trip Completed,2016-07-11 00:54:00,2016-07-11 01:59:00
11,City,198.0,Trip Completed,2016-07-11 01:00:00,2016-07-11 01:53:00
13,City,119.0,Trip Completed,2016-07-11 01:08:00,2016-07-11 01:58:00
12,City,,No Cars Available,2016-07-11 01:08:00,
16,Airport,,No Cars Available,2016-07-11 01:09:00,
14,Airport,,No Cars Available,2016-07-11 01:10:00,
19,City,,No Cars Available,2016-07-11 01:14:00,
15,City,,No Cars Available,2016-07-11 01:15:00,
17,Airport,,No Cars Available,2016-07-11 01:16:00,
18,City,201.0,Cancelled,2016-07-11 01:16:00,
20,Airport,,No Cars Available,2016-07-11 01:23:00,
21,Airport,194.0,Trip Completed,2016-07-11 01:29:00,2016-07-11 02:05:00
23,City,,No Cars Available,2016-07-11 01:38:00,
22,Airport,,No Cars Available,2016-07-11 01:40:00,
25,Airport,,No Cars Available,2016-07-11 01:45:00,
24,Airport,,No Cars Available,2016-07-11 01:48:00,
26,Airport,,No Cars Available,2016-07-11 01:49:00,
