Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp
1363,Airport,136,Trip Completed,11-07-2016 00:00,11-07-2016 01:11
1362,City,,No Cars Available,11-07-2016 00:02,
1367,City,155,Trip Completed,11-07-2016 00:05,11-07-2016 01:06
1364,City,,No Cars Available,11-07-2016 00:06,
1366,City,,No Cars Available,11-07-2016 00:09,
1365,City,229,Cancelled,11-07-2016 00:09,
1,Airport,285,Trip Completed,11-07-2016 00:20,11-07-2016 00:51
2,Airport,,No Cars Available,11-07-2016 00:23,
3,Airport,80,Trip Completed,11-07-2016 00:24,11-07-2016 01:31
7,Airport,,No Cars Available,11-07-2016 00:30,
5,Airport,264,Trip Completed,11-07-2016 00:36,11-07-2016 01:35
6,City,,No Cars Available,11-07-2016 00:36,
4,City,,No Cars Available,11-07-2016 00:37,
8,City,,No Cars Available,11-07-2016 00:40,
9,Airport,235,Trip Completed,11-07-2016 00:45,11-07-2016 02:00
10,City,228,Trip Completed,11-07-2016 00:54,11-07-2016 01:59
11,City,198,Trip Completed,11-07-2016 01:00,11-07-2016 01:53
13,City,119,Trip Completed,11-07-2016 01:08,11-07-2016 01:58
12,City,,No Cars Available,11-07-2016 01:08,
16,Airport,,No Cars Available,11-07-2016 01:09,
14,Airport,,No Cars Available,11-07-2016 01:10,
19,City,,No Cars Available,11-07-2016 01:14,
15,City,,No Cars Available,11-07-2016 01:15,
17,Airport,,No Cars Available,11-07-2016 01:16,
18,City,201,Cancelled,11-07-2016 01:16,
20,Airport,,No Cars Available,11-07-2016 01:23,
21,Airport,194,Trip Completed,11-07-2016 01:29,11-07-2016 02:05
23,City,,No Cars Available,11-07-2016 01:38,
22,Airport,,No Cars Available,11-07-2016 01:40,
25,Airport,,No Cars Available,11-07-2016 01:45,
24,Airport,,No Cars Available,11-07-2016 01:48,
26,Airport,,No Cars Available,11-07-2016 01:49,
27,Airport,,No Cars Available,11-07-2016 01:49,
29,City,,No Cars Available,11-07-2016 01:55,
28,City,,No Cars Available,11-07-2016 02:02,
30,Airport,297,Trip Completed,11-07-2016 02:04,11-07-2016 02:37
31,City,,No Cars Available,11-07-2016 02:10,
32,Airport,,No Cars Available,11-07-2016 02:15,
33,Airport,170,Trip Completed,11-07-2016 02:17,11-07-2016 03:31
34,City,78,Trip Completed,11-07-2016 02:20,11-07-2016 03:34
36,City,,No Cars Available,11-07-2016 02:33,
37,Airport,,No Cars Available,11-07-2016 02:34,
35,City,107,Trip Completed,11-07-2016 02:36,11-07-2016 03:03
38,City,,No Cars Available,11-07-2016 02:39,
40,Airport,,No Cars Available,11-07-2016 02:42,
41,City,109,Trip Completed,11-07-2016 02:47,11-07-2016 03:23
39,Airport,,No Cars Available,11-07-2016 02:48,
42,Airport,,No Cars Available,11-07-2016 02:55,
43,City,,No Cars Available,11-07-2016 03:06,
44,Airport,,No Cars Available,11-07-2016 03:07,
48,City,150,Trip Completed,11-07-2016 03:14,11-07-2016 04:19
46,Airport,,No Cars Available,11-07-2016 03:16,
45,Airport,12,Trip Completed,11-07-2016 03:17,11-07-2016 04:09
50,City,100,Trip Completed,11-07-2016 03:22,11-07-2016 03:57
47,City,124,Trip Completed,11-07-2016 03:22,11-07-2016 04:35
49,Airport,,No Cars Available,11-07-2016 03:29,
53,Airport,95,Trip Completed,11-07-2016 03:30,11-07-2016 04:22
52,City,,No Cars Available,11-07-2016 03:30,
51,City,86,Trip Completed,11-07-2016 03:34,11-07-2016 04:33
54,City,,No Cars Available,11-07-2016 03:34,
55,Airport,,No Cars Available,11-07-2016 03:41,
57,City,,No Cars Available,11-07-2016 03:52,
60,City,141,Trip Completed,11-07-2016 03:57,11-07-2016 04:46
59,City,,No Cars Available,11-07-2016 03:58,
56,City,,No Cars Available,11-07-2016 03:58,
58,Airport,,No Cars Available,11-07-2016 04:03,
61,Airport,,No Cars Available,11-07-2016 04:05,
62,Airport,,No Cars Available,11-07-2016 04:10,
64,City,52,Trip Completed,11-07-2016 04:16,11-07-2016 05:28
63,Airport,,No Cars Available,11-07-2016 04:17,
66,City,255,Trip Completed,11-07-2016 04:21,11-07-2016 04:54
65,Airport,,No Cars Available,11-07-2016 04:23,
67,Airport,,No Cars Available,11-07-2016 04:24,
69,Airport,,No Cars Available,11-07-2016 04:27,
68,Airport,,No Cars Available,11-07-2016 04:27,
70,City,80,Trip Completed,11-07-2016 04:34,11-07-2016 05:30
73,Airport,,No Cars Available,11-07-2016 04:36,
72,City,,No Cars Available,11-07-2016 04:36,
71,City,,No Cars Available,11-07-2016 04:37,
74,Airport,239,Trip Completed,11-07-2016 04:38,11-07-2016 05:44
75,Airport,,No Cars Available,11-07-2016 04:40,
79,City,,No Cars Available,11-07-2016 04:43,
83,City,,No Cars Available,11-07-2016 04:44,
76,City,158,Cancelled,11-07-2016 04:45,
78,City,,No Cars Available,11-07-2016 04:45,
77,City,171,Cancelled,11-07-2016 04:46,
87,City,213,Trip Completed,11-07-2016 04:46,11-07-2016 05:26
